code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09626,2021-08-13 00:00:00,615.0,607.0,623.0,604.0,0.0,0.00128,493266,300285384.0,-2.0967741935483875,620.0
HK.09626,2021-08-16 00:00:00,580.0,560.5,582.0,553.5,0.0,0.00427,1641068,919606508.0,-7.660626029654035,607.0
HK.09626,2021-08-17 00:00:00,548.5,517.5,548.5,510.0,0.0,0.0039,1499204,785884975.0,-7.671721677074041,560.5
HK.09626,2021-08-18 00:00:00,525.0,533.5,541.5,525.0,0.0,0.00177,679140,363630692.0,3.0917874396135265,517.5
HK.09626,2021-08-19 00:00:00,538.0,521.0,545.0,513.0,0.0,0.00178,685581,360924024.0,-2.343017806935333,533.5
HK.09626,2021-08-20 00:00:00,507.5,494.0,512.5,487.2,0.0,0.00332,1275319,631665779.0,-5.182341650671785,521.0
HK.09626,2021-08-23 00:00:00,520.0,523.5,542.0,518.0,0.0,0.00249,955861,506266172.0,5.97165991902834,494.0
HK.09626,2021-08-24 00:00:00,545.0,577.0,582.0,540.5,0.0,0.00283,1086476,618465476.0,10.219675262655205,523.5
HK.09626,2021-08-25 00:00:00,617.0,604.0,624.0,600.0,0.0,0.00322,1237040,756117506.0,4.679376083188909,577.0
HK.09626,2021-08-26 00:00:00,617.5,606.5,617.5,600.0,0.0,0.00103,394032,239804377.0,0.4139072847682119,604.0
HK.09626,2021-08-27 00:00:00,602.0,605.5,615.0,597.5,0.0,0.00103,394253,238937872.0,-0.16488046166529266,606.5
HK.09626,2021-08-30 00:00:00,591.0,606.5,614.0,583.0,0.0,0.00201,771139,467239008.0,0.16515276630883566,605.5
HK.09626,2021-08-31 00:00:00,585.0,600.0,600.0,563.0,0.0,0.00223,857270,498771749.0,-1.0717230008244023,606.5
HK.09626,2021-09-01 00:00:00,618.0,637.5,655.0,616.5,0.0,0.00327,1255117,804729150.0,6.25,600.0
HK.09626,2021-09-02 00:00:00,659.5,666.0,687.0,659.5,0.0,0.00293,1126022,757039195.0,4.470588235294118,637.5
HK.09626,2021-09-03 00:00:00,656.0,664.5,666.5,648.5,0.0,0.00243,935240,618935660.0,-0.22522522522522523,666.0
HK.09626,2021-09-06 00:00:00,674.5,692.0,698.0,672.0,0.0,0.00183,704208,484592375.0,4.138449962377728,664.5
HK.09626,2021-09-07 00:00:00,700.0,705.0,719.0,693.5,0.0,0.00232,892193,634438388.0,1.8786127167630058,692.0
HK.09626,2021-09-08 00:00:00,720.0,697.5,720.0,690.5,0.0,0.00118,453399,317523525.0,-1.0638297872340425,705.0
HK.09626,2021-09-09 00:00:00,662.0,635.5,662.0,632.5,0.0,0.00379,1455323,953447814.0,-8.88888888888889,697.5
HK.09626,2021-09-10 00:00:00,650.0,658.5,658.5,648.0,0.0,0.00234,899480,587574858.0,3.6191974822974036,635.5
HK.09626,2021-09-13 00:00:00,650.0,635.0,650.0,625.5,0.0,0.00105,401909,254648719.0,-3.568716780561883,658.5
HK.09626,2021-09-14 00:00:00,626.5,619.5,635.0,612.0,0.0,0.00122,467230,289863927.0,-2.440944881889764,635.0
HK.09626,2021-09-15 00:00:00,619.5,601.0,625.5,594.5,0.0,0.00212,813125,491996261.0,-2.9862792574656982,619.5
HK.09626,2021-09-16 00:00:00,595.0,584.5,597.5,571.5,0.0,0.00139,533789,310538509.0,-2.7454242928452577,601.0
HK.09626,2021-09-17 00:00:00,565.0,585.0,590.0,560.5,0.0,0.00255,979108,563638378.0,0.0855431993156544,584.5
HK.09626,2021-09-20 00:00:00,575.0,565.0,575.0,545.0,0.0,0.00197,757691,424066012.0,-3.418803418803419,585.0
